Unnamed: 0,timestamp,id,event,details,id_group
512,2000-01-01 11:32:51,instance-558efcbb-ae2f-4733-a049-1a3fa61f3557,instance.updated.graph,"{'instance_id': 'instance-558efcbb-ae2f-4733-a049-1a3fa61f3557', 'instance_label': 'street', 'text_changed': False, 'graph_changed': True, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
513,2000-01-01 11:33:21,,api.generate_image.succeeded,"{'global_caption': 'a scene featuring an old white man wearing a grey cardigan, a white shirt, black pants, and a black artist-style hat, holding nothing related to a woman while looking at a girl, a brown-haired woman in a flower-patterned dress holding a box, a young brown-haired man in a bright blue polo T-shirt and brown short pants holding a tray with a bunch of water bottles in one hand, wearing brown sandals, while holding a box, a black-haired girl in a bright pink tank top and a white skirt wearing pink shoes and holding a yellow balloon connected to a cute teddy bear, a brown picnic box, a street with a black tree, a black car parked beside the street and viewed from the side, and a lamp on the street.', 'region_count': 8, 'has_image': True, 'detected_objects_count': 5, 'image_path': 'output/P7/2025-08-20_11-33-21/image.png', 'image_with_layout_path': 'output/P7/2025-08-20_11-33-21/image_with_layout.png', 'timestamp_dir': 'output/P7/2025-08-20_11-33-21', 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
514,2000-01-01 11:35:32,instance-558efcbb-ae2f-4733-a049-1a3fa61f3557,instance.updated.graph,"{'instance_id': 'instance-558efcbb-ae2f-4733-a049-1a3fa61f3557', 'instance_label': 'street', 'text_changed': False, 'graph_changed': True, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
515,2000-01-01 11:36:52,instance-40a5bd78-e6a3-4927-bc48-c5e3ba5410b9,object_node.extract.confirmed,"{'object_id': 'object6', 'object_name': 'teddy bear', 'parent_instance_id': 'instance-40a5bd78-e6a3-4927-bc48-c5e3ba5410b9', 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
516,2000-01-01 11:37:01,instance-d57c5518-a521-46e7-a930-f27f0f07efbe,layout.node.moved,"{'nodeId': 'instance-d57c5518-a521-46e7-a930-f27f0f07efbe', 'newPos': {'x': 366, 'y': 412}, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
517,2000-01-01 11:37:05,instance-40a5bd78-e6a3-4927-bc48-c5e3ba5410b9,object_node.extract.confirmed,"{'object_id': 'object4', 'object_name': 'balloon', 'parent_instance_id': 'instance-40a5bd78-e6a3-4927-bc48-c5e3ba5410b9', 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
518,2000-01-01 11:37:12,instance-f59f4942-233e-4d77-ae9c-93f964e07618,layout.node.moved,"{'nodeId': 'instance-f59f4942-233e-4d77-ae9c-93f964e07618', 'newPos': {'x': 407, 'y': 370}, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
519,2000-01-01 11:37:15,instance-f59f4942-233e-4d77-ae9c-93f964e07618,layout.node.moved,"{'nodeId': 'instance-f59f4942-233e-4d77-ae9c-93f964e07618', 'newPos': {'x': 407, 'y': 365}, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
520,2000-01-01 11:37:20,instance-f59f4942-233e-4d77-ae9c-93f964e07618-resizable,layoutboard.node.resizable.resized,"{'nodeId': 'instance-f59f4942-233e-4d77-ae9c-93f964e07618-resizable', 'prevSize': {'width': 50, 'height': 50}, 'newSize': {'width': 115, 'height': 51}, 'delta': {'width': 65, 'height': 1}, 'linkedSizeNodeIds': [], 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
521,2000-01-01 11:37:23,instance-f59f4942-233e-4d77-ae9c-93f964e07618-resizable,layoutboard.node.resizable.resized,"{'nodeId': 'instance-f59f4942-233e-4d77-ae9c-93f964e07618-resizable', 'prevSize': {'width': 50, 'height': 50}, 'newSize': {'width': 33, 'height': 79}, 'delta': {'width': -17, 'height': 29}, 'linkedSizeNodeIds': [], 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
